play_id,game_date,home_team,away_team,play_fileName
2444,00:00.0,DAL,PHI,003_080
2465,00:00.0,DAL,PHI,003_081
2487,00:00.0,DAL,PHI,003_082
2508,00:00.0,DAL,PHI,003_083
2545,00:00.0,DAL,PHI,003_084
2570,00:00.0,DAL,PHI,NULL
2585,00:00.0,DAL,PHI,003_085
2609,00:00.0,DAL,PHI,003_086
2630,00:00.0,DAL,PHI,003_087
2651,00:00.0,DAL,PHI,003_088
2673,00:00.0,DAL,PHI,003_089
2694,00:00.0,DAL,PHI,NULL
2713,00:00.0,DAL,PHI,003_090
2734,00:00.0,DAL,PHI,003_091
2755,00:00.0,DAL,PHI,003_092
2776,00:00.0,DAL,PHI,003_093
2797,00:00.0,DAL,PHI,003_094
2821,00:00.0,DAL,PHI,NULL
2838,00:00.0,DAL,PHI,003_095
2862,00:00.0,DAL,PHI,003_096
2883,00:00.0,DAL,PHI,003_097
2904,00:00.0,DAL,PHI,003_098
2925,00:00.0,DAL,PHI,003_099
2985,00:00.0,DAL,PHI,003_100
3015,00:00.0,DAL,PHI,003_101
3040,00:00.0,DAL,PHI,NULL
3069,00:00.0,DAL,PHI,003_102
3088,00:00.0,DAL,PHI,003_103
3112,00:00.0,DAL,PHI,003_104
3156,00:00.0,DAL,PHI,NULL
3178,00:00.0,DAL,PHI,003_105
3202,00:00.0,DAL,PHI,003_106
3226,00:00.0,DAL,PHI,003_107
3250,00:00.0,DAL,PHI,003_108
3274,00:00.0,DAL,PHI,003_109
3296,00:00.0,DAL,PHI,003_110
3324,00:00.0,DAL,PHI,003_111
3348,00:00.0,DAL,PHI,003_112
3386,00:00.0,DAL,PHI,003_113
3407,00:00.0,DAL,PHI,003_114
3433,00:00.0,DAL,PHI,003_115
3454,00:00.0,DAL,PHI,003_116
3475,00:00.0,DAL,PHI,003_117
3496,00:00.0,DAL,PHI,NULL
3521,00:00.0,DAL,PHI,003_118
3542,00:00.0,DAL,PHI,003_119
3563,00:00.0,DAL,PHI,003_120
3585,00:00.0,DAL,PHI,NULL
3606,00:00.0,DAL,PHI,NULL
3625,00:00.0,DAL,PHI,NULL
3646,00:00.0,DAL,PHI,NULL
3667,00:00.0,DAL,PHI,NULL
3688,00:00.0,DAL,PHI,NULL
36,00:00.0,SF,GB,NULL
51,00:00.0,SF,GB,004_001
73,00:00.0,SF,GB,004_002
94,00:00.0,SF,GB,004_003
124,00:00.0,SF,GB,004_004
146,00:00.0,SF,GB,004_005
170,00:00.0,SF,GB,004_006
198,00:00.0,SF,GB,004_007
226,00:00.0,SF,GB,004_008
251,00:00.0,SF,GB,004_009
275,00:00.0,SF,GB,004_010
300,00:00.0,SF,GB,004_011
324,00:00.0,SF,GB,004_012
349,00:00.0,SF,GB,004_013
369,00:00.0,SF,GB,NULL
385,00:00.0,SF,GB,NULL
401,00:00.0,SF,GB,004_014
422,00:00.0,SF,GB,004_015
444,00:00.0,SF,GB,004_016
465,00:00.0,SF,GB,NULL
488,00:00.0,SF,GB,004_017
512,00:00.0,SF,GB,NULL
534,00:00.0,SF,GB,004_018
555,00:00.0,SF,GB,004_019
576,00:00.0,SF,GB,NULL
593,00:00.0,SF,GB,004_020
617,00:00.0,SF,GB,NULL
642,00:00.0,SF,GB,NULL
665,00:00.0,SF,GB,004_021
686,00:00.0,SF,GB,NULL
715,00:00.0,SF,GB,NULL
740,00:00.0,SF,GB,004_022
761,00:00.0,SF,GB,004_023
785,00:00.0,SF,GB,004_024
813,00:00.0,SF,GB,004_025
839,00:00.0,SF,GB,004_026
861,00:00.0,SF,GB,NULL
879,00:00.0,SF,GB,004_027
900,00:00.0,SF,GB,NULL
916,00:00.0,SF,GB,004_028
939,00:00.0,SF,GB,004_029
961,00:00.0,SF,GB,NULL
980,00:00.0,SF,GB,004_030
1001,00:00.0,SF,GB,004_031
1022,00:00.0,SF,GB,004_032
1043,00:00.0,SF,GB,NULL
1102,00:00.0,SF,GB,004_033
1124,00:00.0,SF,GB,004_034
1148,00:00.0,SF,GB,004_035
1174,00:00.0,SF,GB,NULL
1207,00:00.0,SF,GB,004_036
1239,00:00.0,SF,GB,004_037
1260,00:00.0,SF,GB,004_038
1288,00:00.0,SF,GB,004_039
1320,00:00.0,SF,GB,004_040
1344,00:00.0,SF,GB,004_041
1365,00:00.0,SF,GB,004_042
1409,00:00.0,SF,GB,004_043
1433,00:00.0,SF,GB,004_044
1456,00:00.0,SF,GB,004_045
1475,00:00.0,SF,GB,004_046
1515,00:00.0,SF,GB,NULL
1534,00:00.0,SF,GB,NULL
1549,00:00.0,SF,GB,004_047
1574,00:00.0,SF,GB,004_048
1607,00:00.0,SF,GB,004_049
1631,00:00.0,SF,GB,004_050
1655,00:00.0,SF,GB,004_051
1676,00:00.0,SF,GB,004_052
1697,00:00.0,SF,GB,NULL
1714,00:00.0,SF,GB,004_053
1741,00:00.0,SF,GB,004_054
1766,00:00.0,SF,GB,004_055
1788,00:00.0,SF,GB,004_056
1812,00:00.0,SF,GB,NULL
1833,00:00.0,SF,GB,NULL
1896,00:00.0,SF,GB,004_057
1918,00:00.0,SF,GB,004_058
1940,00:00.0,SF,GB,004_059
1962,00:00.0,SF,GB,004_060
1982,00:00.0,SF,GB,NULL
1999,00:00.0,SF,GB,NULL
2035,00:00.0,SF,GB,NULL
2082,00:00.0,SF,GB,004_061
2104,00:00.0,SF,GB,004_062
2126,00:00.0,SF,GB,004_063
2150,00:00.0,SF,GB,004_064
2175,00:00.0,SF,GB,004_065
2203,00:00.0,SF,GB,004_066
2224,00:00.0,SF,GB,NULL
2249,00:00.0,SF,GB,004_067
2270,00:00.0,SF,GB,004_068
2302,00:00.0,SF,GB,004_069
2326,00:00.0,SF,GB,NULL
2347,00:00.0,SF,GB,004_070
2371,00:00.0,SF,GB,004_071
2397,00:00.0,SF,GB,004_072
2421,00:00.0,SF,GB,004_073
2449,00:00.0,SF,GB,004_074
2485,00:00.0,SF,GB,004_075
2507,00:00.0,SF,GB,004_076
2528,00:00.0,SF,GB,NULL
2545,00:00.0,SF,GB,004_077
2562,00:00.0,SF,GB,NULL
2578,00:00.0,SF,GB,NULL
2601,00:00.0,SF,GB,004_078
2622,00:00.0,SF,GB,004_079
2646,00:00.0,SF,GB,004_080
2669,00:00.0,SF,GB,NULL
2687,00:00.0,SF,GB,004_081
2716,00:00.0,SF,GB,004_082
2744,00:00.0,SF,GB,004_083
2769,00:00.0,SF,GB,004_084
2790,00:00.0,SF,GB,004_085
2811,00:00.0,SF,GB,004_086
2832,00:00.0,SF,GB,004_087
2855,00:00.0,SF,GB,NULL
2874,00:00.0,SF,GB,NULL
2896,00:00.0,SF,GB,004_088
2918,00:00.0,SF,GB,004_089
2939,00:00.0,SF,GB,004_090
2963,00:00.0,SF,GB,NULL
2983,00:00.0,SF,GB,004_091
3004,00:00.0,SF,GB,004_092
3023,00:00.0,SF,GB,004_093
3044,00:00.0,SF,GB,NULL
3074,00:00.0,SF,GB,004_094
3098,00:00.0,SF,GB,004_095
3123,00:00.0,SF,GB,004_096
3147,00:00.0,SF,GB,004_097
3193,00:00.0,SF,GB,004_098
3217,00:00.0,SF,GB,004_099
3240,00:00.0,SF,GB,NULL
3258,00:00.0,SF,GB,004_100
3280,00:00.0,SF,GB,004_101
3299,00:00.0,SF,GB,004_102
3325,00:00.0,SF,GB,004_103
3346,00:00.0,SF,GB,004_104
3367,00:00.0,SF,GB,004_105
3386,00:00.0,SF,GB,NULL
3411,00:00.0,SF,GB,004_106
3433,00:00.0,SF,GB,004_107
3455,00:00.0,SF,GB,NULL
3476,00:00.0,SF,GB,004_108
3500,00:00.0,SF,GB,004_109
3525,00:00.0,SF,GB,004_110
3547,00:00.0,SF,GB,NULL
3568,00:00.0,SF,GB,004_111
3591,00:00.0,SF,GB,004_112
3610,00:00.0,SF,GB,004_113
3631,00:00.0,SF,GB,004_114
3652,00:00.0,SF,GB,004_115
3673,00:00.0,SF,GB,004_116
3694,00:00.0,SF,GB,004_117
3715,00:00.0,SF,GB,NULL
3732,00:00.0,SF,GB,004_118
3753,00:00.0,SF,GB,NULL
3774,00:00.0,SF,GB,004_119
3795,00:00.0,SF,GB,004_120
3816,00:00.0,SF,GB,NULL
3839,00:00.0,SF,GB,NULL
3857,00:00.0,SF,GB,004_121
3879,00:00.0,SF,GB,004_122
3903,00:00.0,SF,GB,NULL
